	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling	12-Lulu_97
APAL257b_S322_L001	32646	25398	25398	25398 (6273 uniques)	25304 (105 uniques)	25012 (83 uniques)	23140 (75 uniques)	23083 (74 uniques)	23083 (74 uniques)	23083 (69 uniques)	2791 (64 uniques)	2791 (64 uniques)	2791 (64 uniques)	2791 (64 uniques)
APAL257c_S334_L001	61999	48542	48542	48542 (9680 uniques)	48429 (60 uniques)	48201 (55 uniques)	45881 (46 uniques)	45849 (45 uniques)	45849 (45 uniques)	45849 (41 uniques)	3813 (34 uniques)	3813 (34 uniques)	3813 (34 uniques)	3813 (34 uniques)
APAL270b_S325_L001	36715	30250	30250	30250 (5772 uniques)	30124 (54 uniques)	29988 (42 uniques)	29969 (41 uniques)	29628 (37 uniques)	29628 (37 uniques)	29628 (34 uniques)	23912 (31 uniques)	23912 (31 uniques)	23912 (31 uniques)	23912 (31 uniques)
APAL270c_S337_L001	51394	41079	41079	41079 (8843 uniques)	40940 (54 uniques)	40840 (50 uniques)	40805 (48 uniques)	40432 (43 uniques)	40432 (43 uniques)	40432 (42 uniques)	32182 (39 uniques)	32182 (39 uniques)	32182 (39 uniques)	32182 (39 uniques)
APAL288b_S320_L001	38307	30044	30044	30044 (7526 uniques)	29882 (76 uniques)	29619 (64 uniques)	28881 (58 uniques)	28513 (53 uniques)	28513 (53 uniques)	28513 (45 uniques)	21807 (42 uniques)	21805 (41 uniques)	21805 (41 uniques)	21805 (41 uniques)
APAL288c_S332_L001	38619	31107	31107	31107 (8253 uniques)	30984 (59 uniques)	30820 (53 uniques)	29825 (47 uniques)	29585 (43 uniques)	29585 (43 uniques)	29585 (37 uniques)	21826 (36 uniques)	21826 (36 uniques)	21826 (36 uniques)	21826 (36 uniques)
APAL297b_S330_L001	39164	31085	31085	31085 (8131 uniques)	30875 (101 uniques)	30463 (76 uniques)	29688 (68 uniques)	29236 (63 uniques)	29236 (63 uniques)	29236 (53 uniques)	18244 (46 uniques)	18244 (46 uniques)	18244 (46 uniques)	18244 (46 uniques)
APAL297c_S342_L001	354	269	269	269 (120 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (2 uniques)	145 (1 uniques)	145 (1 uniques)	145 (1 uniques)	145 (1 uniques)
APAL305b_S331_L001	37685	27811	27811	27811 (6764 uniques)	27662 (113 uniques)	27204 (92 uniques)	27136 (88 uniques)	26763 (81 uniques)	26763 (81 uniques)	26763 (72 uniques)	2542 (62 uniques)	2542 (62 uniques)	2542 (62 uniques)	2542 (62 uniques)
APAL305c_S343_L001	45952	34025	34025	34025 (8786 uniques)	33869 (116 uniques)	33400 (99 uniques)	33245 (95 uniques)	32953 (87 uniques)	32953 (87 uniques)	32953 (77 uniques)	4125 (68 uniques)	4125 (68 uniques)	4125 (68 uniques)	4125 (68 uniques)
APAL307b_S328_L001	40150	30982	30982	30982 (7619 uniques)	30801 (67 uniques)	30526 (52 uniques)	30088 (46 uniques)	29605 (43 uniques)	29605 (43 uniques)	29605 (42 uniques)	16976 (35 uniques)	16976 (35 uniques)	16976 (35 uniques)	16976 (35 uniques)
APAL307c_S340_L001	12407	9881	9881	9881 (2918 uniques)	9845 (18 uniques)	9828 (18 uniques)	9767 (17 uniques)	9767 (17 uniques)	9767 (17 uniques)	9767 (13 uniques)	6170 (12 uniques)	6170 (12 uniques)	6170 (12 uniques)	6170 (12 uniques)
APAL313b_S323_L001	27678	21124	21124	21124 (6874 uniques)	20978 (166 uniques)	20676 (157 uniques)	19561 (151 uniques)	19561 (151 uniques)	19561 (151 uniques)	19561 (131 uniques)	9219 (120 uniques)	9219 (120 uniques)	9219 (120 uniques)	9219 (120 uniques)
APAL313c_S335_L001	28641	21872	21872	21872 (6777 uniques)	21771 (116 uniques)	21487 (115 uniques)	20467 (102 uniques)	20467 (102 uniques)	20467 (102 uniques)	20467 (92 uniques)	7610 (82 uniques)	7610 (82 uniques)	7610 (82 uniques)	7610 (82 uniques)
APAL315b_S321_L001	38213	28827	28827	28827 (8228 uniques)	28577 (218 uniques)	27899 (189 uniques)	27497 (178 uniques)	27464 (177 uniques)	27464 (177 uniques)	27464 (161 uniques)	6617 (144 uniques)	6617 (144 uniques)	6617 (144 uniques)	6617 (144 uniques)
APAL315c_S333_L001	29557	23986	23986	23986 (6895 uniques)	23788 (185 uniques)	23390 (168 uniques)	22869 (155 uniques)	22845 (154 uniques)	22845 (154 uniques)	22845 (140 uniques)	6504 (127 uniques)	6504 (127 uniques)	6504 (127 uniques)	6504 (127 uniques)
APAL350b_S329_L001	37302	27105	27105	27105 (7204 uniques)	26961 (145 uniques)	26281 (119 uniques)	23421 (111 uniques)	23325 (107 uniques)	23325 (107 uniques)	23325 (101 uniques)	5621 (90 uniques)	5621 (90 uniques)	5621 (90 uniques)	5621 (90 uniques)
APAL350c_S341_L001	28388	21714	21714	21714 (6391 uniques)	21608 (92 uniques)	21305 (81 uniques)	19022 (74 uniques)	18962 (72 uniques)	18962 (72 uniques)	18962 (70 uniques)	4275 (59 uniques)	4275 (59 uniques)	4275 (59 uniques)	4275 (59 uniques)
APAL353b_S327_L001	44662	36046	36046	36046 (8416 uniques)	35782 (123 uniques)	35484 (100 uniques)	34216 (93 uniques)	33938 (90 uniques)	33938 (90 uniques)	33938 (82 uniques)	29773 (73 uniques)	29773 (73 uniques)	29773 (73 uniques)	29773 (73 uniques)
APAL353c_S339_L001	45111	36022	36022	36022 (7991 uniques)	35825 (116 uniques)	35678 (102 uniques)	34085 (96 uniques)	33837 (93 uniques)	33837 (93 uniques)	33837 (88 uniques)	29660 (78 uniques)	29658 (77 uniques)	29658 (77 uniques)	29658 (77 uniques)
APAL367b_S324_L001	35041	26020	26020	26020 (6027 uniques)	25861 (102 uniques)	25057 (84 uniques)	24028 (78 uniques)	23949 (74 uniques)	23949 (74 uniques)	23949 (67 uniques)	2964 (62 uniques)	2964 (62 uniques)	2964 (62 uniques)	2964 (62 uniques)
APAL367c_S336_L001	61992	48154	48154	48154 (10001 uniques)	48002 (85 uniques)	47067 (74 uniques)	45294 (68 uniques)	45185 (64 uniques)	45185 (64 uniques)	45185 (57 uniques)	4700 (49 uniques)	4700 (49 uniques)	4700 (49 uniques)	4700 (49 uniques)
APAL380b_S326_L001	44268	33322	33322	33322 (7216 uniques)	33150 (64 uniques)	32703 (50 uniques)	32573 (47 uniques)	32103 (42 uniques)	32103 (42 uniques)	32103 (40 uniques)	11935 (37 uniques)	11935 (37 uniques)	11935 (37 uniques)	11935 (37 uniques)
APAL380c_S338_L001	18944	12675	12675	12675 (3674 uniques)	12570 (27 uniques)	12476 (17 uniques)	12459 (16 uniques)	12284 (14 uniques)	12284 (14 uniques)	12284 (13 uniques)	4558 (10 uniques)	4558 (10 uniques)	4558 (10 uniques)	4558 (10 uniques)
CNAT_DISEASE_3_9_23_S152_L001	62267	50200	50200	50200 (20736 uniques)	49831 (172 uniques)	49468 (217 uniques)	28581 (119 uniques)	28454 (114 uniques)	28454 (114 uniques)	28454 (108 uniques)	26436 (98 uniques)	26436 (98 uniques)	26436 (98 uniques)	26436 (98 uniques)
DLAB_HEALTHY_CONTROL_S159_L001	68784	51363	51363	51363 (19517 uniques)	51167 (114 uniques)	50609 (161 uniques)	13384 (62 uniques)	13384 (62 uniques)	13384 (62 uniques)	13384 (58 uniques)	2934 (48 uniques)	2934 (48 uniques)	2934 (48 uniques)	2934 (48 uniques)
DNA_NTC_1_S192_L001	52260	9716	9716	9716 (4097 uniques)	9597 (32 uniques)	9573 (46 uniques)	8734 (25 uniques)	8734 (25 uniques)	8734 (25 uniques)	8734 (20 uniques)	8718 (19 uniques)	8718 (19 uniques)	8718 (19 uniques)	8718 (19 uniques)
DNA_NTC_2P4_S309_L001	5592	4149	4149	4149 (1611 uniques)	4125 (24 uniques)	4064 (22 uniques)	4064 (21 uniques)	4064 (21 uniques)	4064 (21 uniques)	4064 (17 uniques)	3984 (15 uniques)	3984 (15 uniques)	3984 (15 uniques)	3984 (15 uniques)
END_CN22_11_1_S59_L001	10870	8499	8499	8499 (3579 uniques)	8076 (237 uniques)	7370 (170 uniques)	7317 (161 uniques)	7317 (161 uniques)	7317 (161 uniques)	7317 (147 uniques)	6621 (139 uniques)	6621 (139 uniques)	6621 (139 uniques)	6621 (139 uniques)
END_CN22_11_2_S60_L001	18581	13887	13887	13887 (5811 uniques)	13195 (320 uniques)	12004 (226 uniques)	11933 (219 uniques)	11933 (219 uniques)	11933 (219 uniques)	11933 (195 uniques)	9874 (182 uniques)	9874 (182 uniques)	9874 (182 uniques)	9874 (182 uniques)
END_CN22_12_S61_L001	20936	16290	16290	16290 (6845 uniques)	15573 (409 uniques)	14250 (293 uniques)	14110 (280 uniques)	14110 (280 uniques)	14110 (280 uniques)	14110 (236 uniques)	12838 (217 uniques)	12838 (217 uniques)	12838 (217 uniques)	12838 (217 uniques)
END_CN22_14_1_S62_L001	15232	11537	11537	11537 (4242 uniques)	11108 (261 uniques)	10182 (182 uniques)	10075 (179 uniques)	10075 (179 uniques)	10075 (179 uniques)	10075 (163 uniques)	5610 (151 uniques)	5610 (151 uniques)	5610 (151 uniques)	5610 (151 uniques)
END_CN22_14_2_S63_L001	11775	9556	9556	9556 (4362 uniques)	8968 (319 uniques)	7907 (217 uniques)	7819 (210 uniques)	7819 (210 uniques)	7819 (210 uniques)	7819 (188 uniques)	6957 (169 uniques)	6957 (169 uniques)	6957 (169 uniques)	6957 (169 uniques)
END_CN22_15_S64_L001	6457	5088	5088	5088 (2563 uniques)	4670 (220 uniques)	3859 (144 uniques)	3851 (143 uniques)	3851 (143 uniques)	3851 (143 uniques)	3851 (126 uniques)	2853 (110 uniques)	2853 (110 uniques)	2853 (110 uniques)	2853 (110 uniques)
END_CN22_16_S65_L001	10647	8723	8723	8723 (3837 uniques)	8138 (304 uniques)	7262 (222 uniques)	7237 (218 uniques)	7237 (218 uniques)	7237 (218 uniques)	7237 (194 uniques)	6648 (179 uniques)	6644 (177 uniques)	6644 (177 uniques)	6644 (177 uniques)
END_CN22_17_S66_L001	4710	3624	3624	3624 (1842 uniques)	3239 (142 uniques)	2692 (90 uniques)	2667 (86 uniques)	2667 (86 uniques)	2667 (86 uniques)	2667 (81 uniques)	1894 (75 uniques)	1894 (75 uniques)	1894 (75 uniques)	1894 (75 uniques)
END_CN22_18_S67_L001	1834	1430	1430	1430 (767 uniques)	1194 (53 uniques)	985 (32 uniques)	985 (31 uniques)	985 (31 uniques)	985 (31 uniques)	985 (30 uniques)	828 (25 uniques)	828 (25 uniques)	828 (25 uniques)	828 (25 uniques)
END_CN22_19_S68_L001	4085	3203	3203	3203 (1679 uniques)	2805 (150 uniques)	2269 (90 uniques)	2243 (88 uniques)	2243 (88 uniques)	2243 (88 uniques)	2243 (80 uniques)	1741 (73 uniques)	1741 (73 uniques)	1741 (73 uniques)	1741 (73 uniques)
END_CN22_1_S52_L001	15038	11531	11531	11531 (5018 uniques)	10935 (347 uniques)	9638 (222 uniques)	9622 (215 uniques)	9622 (215 uniques)	9622 (215 uniques)	9622 (193 uniques)	6933 (180 uniques)	6933 (180 uniques)	6933 (180 uniques)	6933 (180 uniques)
END_CN22_20_S69_L001	1120	871	871	871 (477 uniques)	715 (47 uniques)	526 (24 uniques)	526 (24 uniques)	526 (24 uniques)	526 (24 uniques)	526 (22 uniques)	385 (20 uniques)	385 (20 uniques)	385 (20 uniques)	385 (20 uniques)
END_CN22_21_1_S70_L001	278	221	221	221 (153 uniques)	155 (16 uniques)	115 (11 uniques)	115 (11 uniques)	115 (11 uniques)	115 (11 uniques)	115 (11 uniques)	100 (9 uniques)	100 (9 uniques)	100 (9 uniques)	100 (9 uniques)
END_CN22_21_2_S71_L001	4	/	/	/	/	/	/	/	/	/	/	/	/	/
END_CN22_21_3_S72_L001	3904	3008	3008	3008 (1656 uniques)	2612 (129 uniques)	2069 (77 uniques)	2069 (76 uniques)	2069 (76 uniques)	2069 (76 uniques)	2069 (69 uniques)	1766 (62 uniques)	1766 (62 uniques)	1766 (62 uniques)	1766 (62 uniques)
END_CN22_22_S74_L001	35880	27767	27767	27767 (11685 uniques)	26655 (712 uniques)	24212 (505 uniques)	24079 (487 uniques)	24079 (487 uniques)	24079 (487 uniques)	24079 (411 uniques)	20378 (383 uniques)	20378 (383 uniques)	20378 (383 uniques)	20378 (383 uniques)
END_CN22_24_1_S75_L001	33487	27149	27149	27149 (11040 uniques)	26262 (581 uniques)	24569 (452 uniques)	24203 (433 uniques)	24203 (433 uniques)	24203 (433 uniques)	24203 (372 uniques)	19975 (350 uniques)	19975 (350 uniques)	19975 (350 uniques)	19975 (350 uniques)
END_CN22_24_2_S76_L001	35830	28241	28241	28241 (12034 uniques)	27165 (642 uniques)	24937 (466 uniques)	24649 (453 uniques)	24649 (453 uniques)	24649 (453 uniques)	24649 (387 uniques)	18740 (361 uniques)	18738 (360 uniques)	18738 (360 uniques)	18738 (360 uniques)
END_CN22_25_S77_L001	35634	28850	28850	28850 (12336 uniques)	27562 (726 uniques)	25144 (531 uniques)	24947 (509 uniques)	24947 (509 uniques)	24947 (509 uniques)	24947 (441 uniques)	16976 (405 uniques)	16976 (405 uniques)	16976 (405 uniques)	16976 (405 uniques)
END_CN22_26_S78_L001	26838	21697	21697	21697 (10320 uniques)	20844 (466 uniques)	19430 (368 uniques)	19178 (358 uniques)	19178 (358 uniques)	19178 (358 uniques)	19178 (295 uniques)	14265 (270 uniques)	14265 (270 uniques)	14265 (270 uniques)	14265 (270 uniques)
END_CN22_27_S79_L001	54525	41856	41856	41856 (16053 uniques)	40670 (752 uniques)	37924 (554 uniques)	37569 (529 uniques)	37556 (528 uniques)	37556 (528 uniques)	37556 (450 uniques)	25467 (407 uniques)	25465 (406 uniques)	25465 (406 uniques)	25465 (406 uniques)
END_CN22_28_S80_L001	41687	32739	32739	32739 (13927 uniques)	31567 (792 uniques)	28970 (593 uniques)	28704 (572 uniques)	28704 (572 uniques)	28704 (572 uniques)	28704 (492 uniques)	24433 (459 uniques)	24431 (458 uniques)	24431 (458 uniques)	24431 (458 uniques)
END_CN22_29_S81_L001	33105	25163	25163	25163 (11061 uniques)	24044 (693 uniques)	21543 (481 uniques)	21424 (471 uniques)	21424 (471 uniques)	21424 (471 uniques)	21424 (412 uniques)	17928 (389 uniques)	17928 (389 uniques)	17928 (389 uniques)	17928 (389 uniques)
END_CN22_30_1_S82_L001	25278	19285	19285	19285 (8348 uniques)	18408 (450 uniques)	16817 (325 uniques)	16685 (317 uniques)	16685 (317 uniques)	16685 (317 uniques)	16685 (278 uniques)	11169 (259 uniques)	11167 (258 uniques)	11167 (258 uniques)	11167 (258 uniques)
END_CN22_30_2_S83_L001	42912	34486	34486	34486 (13319 uniques)	33500 (644 uniques)	31579 (486 uniques)	31377 (474 uniques)	31364 (472 uniques)	31364 (472 uniques)	31364 (411 uniques)	21975 (387 uniques)	21975 (387 uniques)	21975 (387 uniques)	21975 (387 uniques)
END_CN22_33_S84_L001	34155	26653	26653	26653 (11291 uniques)	25654 (672 uniques)	23382 (485 uniques)	23209 (471 uniques)	23200 (470 uniques)	23200 (470 uniques)	23200 (408 uniques)	19323 (383 uniques)	19323 (383 uniques)	19323 (383 uniques)	19323 (383 uniques)
END_CN22_35_S86_L001	48575	38615	38615	38615 (15699 uniques)	37516 (793 uniques)	34715 (571 uniques)	34400 (554 uniques)	34400 (554 uniques)	34400 (554 uniques)	34400 (480 uniques)	30195 (451 uniques)	30193 (450 uniques)	30193 (450 uniques)	30193 (450 uniques)
END_CN22_36_S87_L001	65944	50400	50400	50400 (20790 uniques)	49397 (897 uniques)	46493 (694 uniques)	46199 (657 uniques)	46169 (655 uniques)	46169 (655 uniques)	46169 (543 uniques)	37483 (506 uniques)	37481 (505 uniques)	37481 (505 uniques)	37481 (505 uniques)
END_CN22_37_S88_L001	39157	30581	30581	30581 (12670 uniques)	29588 (699 uniques)	27199 (504 uniques)	26681 (473 uniques)	26681 (473 uniques)	26681 (473 uniques)	26681 (411 uniques)	20898 (380 uniques)	20898 (380 uniques)	20898 (380 uniques)	20898 (380 uniques)
END_CN22_38_S89_L001	66878	52285	52285	52285 (18880 uniques)	51565 (784 uniques)	49417 (712 uniques)	47384 (592 uniques)	47310 (590 uniques)	47310 (590 uniques)	47310 (476 uniques)	33476 (430 uniques)	33476 (430 uniques)	33476 (430 uniques)	33476 (430 uniques)
END_CN22_39_1_S90_L001	54123	42387	42387	42387 (16531 uniques)	41171 (884 uniques)	38294 (631 uniques)	38076 (615 uniques)	38060 (613 uniques)	38060 (613 uniques)	38060 (524 uniques)	31490 (502 uniques)	31488 (501 uniques)	31488 (501 uniques)	31488 (501 uniques)
END_CN22_39_2_S91_L001	70424	55385	55385	55385 (21444 uniques)	54109 (958 uniques)	51198 (746 uniques)	50826 (704 uniques)	50824 (703 uniques)	50824 (703 uniques)	50824 (583 uniques)	43309 (558 uniques)	43305 (556 uniques)	43305 (556 uniques)	43305 (556 uniques)
END_CN22_40_1_S92_L001	54266	42266	42266	42266 (17903 uniques)	41050 (961 uniques)	37687 (711 uniques)	37420 (688 uniques)	37416 (687 uniques)	37416 (687 uniques)	37416 (564 uniques)	31859 (531 uniques)	31855 (529 uniques)	31855 (529 uniques)	31855 (529 uniques)
END_CN22_40_S93_L001	38485	29550	29550	29550 (12664 uniques)	28463 (740 uniques)	26007 (538 uniques)	25926 (519 uniques)	25922 (518 uniques)	25922 (518 uniques)	25922 (443 uniques)	22198 (424 uniques)	22198 (424 uniques)	22198 (424 uniques)	22198 (424 uniques)
END_CN22_41_S94_L001	34111	27336	27336	27336 (11608 uniques)	26357 (640 uniques)	24244 (464 uniques)	24071 (449 uniques)	24064 (447 uniques)	24064 (447 uniques)	24064 (389 uniques)	19327 (361 uniques)	19323 (359 uniques)	19323 (359 uniques)	19323 (359 uniques)
END_CN22_43_S95_L001	50971	39753	39753	39753 (16689 uniques)	38753 (745 uniques)	36110 (568 uniques)	35902 (541 uniques)	35891 (538 uniques)	35891 (538 uniques)	35891 (438 uniques)	30246 (413 uniques)	30242 (411 uniques)	30242 (411 uniques)	30242 (411 uniques)
END_CN22_44_S96_L001	56154	43698	43698	43698 (17636 uniques)	42526 (885 uniques)	39851 (690 uniques)	39602 (667 uniques)	39602 (667 uniques)	39602 (667 uniques)	39602 (550 uniques)	31466 (523 uniques)	31464 (522 uniques)	31464 (522 uniques)	31464 (522 uniques)
END_CN22_45_S146_L001	27863	21885	21885	21885 (11880 uniques)	20727 (441 uniques)	18835 (333 uniques)	18349 (311 uniques)	18349 (311 uniques)	18349 (311 uniques)	18349 (267 uniques)	14724 (239 uniques)	14724 (239 uniques)	14724 (239 uniques)	14724 (239 uniques)
END_CN22_46_S147_L001	53273	40596	40596	40596 (19751 uniques)	39409 (645 uniques)	36718 (524 uniques)	35660 (467 uniques)	35660 (467 uniques)	35660 (467 uniques)	35660 (391 uniques)	29656 (364 uniques)	29654 (363 uniques)	29654 (363 uniques)	29654 (363 uniques)
END_CN22_47_2_S149_L001	52298	41046	41046	41046 (20510 uniques)	39717 (732 uniques)	36613 (599 uniques)	35171 (505 uniques)	35171 (505 uniques)	35171 (505 uniques)	35171 (423 uniques)	31796 (396 uniques)	31796 (396 uniques)	31796 (396 uniques)	31796 (396 uniques)
END_CN22_47_S148_L001	68457	52600	52600	52600 (24152 uniques)	51051 (782 uniques)	47676 (613 uniques)	45935 (536 uniques)	45931 (535 uniques)	45931 (535 uniques)	45931 (449 uniques)	34078 (416 uniques)	34076 (415 uniques)	34076 (415 uniques)	34076 (415 uniques)
END_CN22_48_S150_L001	51546	39492	39492	39492 (21924 uniques)	37850 (872 uniques)	33987 (677 uniques)	32378 (596 uniques)	32378 (596 uniques)	32378 (596 uniques)	32378 (516 uniques)	25918 (480 uniques)	25914 (478 uniques)	25914 (478 uniques)	25914 (478 uniques)
END_CN22_49_S151_L001	56854	44595	44595	44595 (23352 uniques)	43142 (841 uniques)	39558 (652 uniques)	38787 (606 uniques)	38787 (606 uniques)	38787 (606 uniques)	38787 (510 uniques)	32742 (466 uniques)	32742 (466 uniques)	32742 (466 uniques)	32742 (466 uniques)
END_CN22_5_S53_L001	23750	18127	18127	18127 (7292 uniques)	17379 (407 uniques)	16114 (298 uniques)	15895 (288 uniques)	15895 (288 uniques)	15895 (288 uniques)	15895 (249 uniques)	10719 (230 uniques)	10719 (230 uniques)	10719 (230 uniques)	10719 (230 uniques)
END_CN22_6_S54_L001	22723	17645	17645	17645 (7500 uniques)	16787 (479 uniques)	15150 (328 uniques)	15029 (320 uniques)	15029 (320 uniques)	15029 (320 uniques)	15029 (292 uniques)	10016 (279 uniques)	10016 (279 uniques)	10016 (279 uniques)	10016 (279 uniques)
END_CN22_7_S55_L001	20705	15988	15988	15988 (6312 uniques)	15415 (334 uniques)	14329 (274 uniques)	13475 (220 uniques)	13475 (220 uniques)	13475 (220 uniques)	13475 (197 uniques)	7968 (180 uniques)	7962 (177 uniques)	7962 (177 uniques)	7962 (177 uniques)
END_CN22_8_S56_L001	15876	12285	12285	12285 (5230 uniques)	11690 (331 uniques)	10481 (216 uniques)	10434 (207 uniques)	10434 (207 uniques)	10434 (207 uniques)	10434 (182 uniques)	8474 (161 uniques)	8474 (161 uniques)	8474 (161 uniques)	8474 (161 uniques)
END_CN22_902_S58_L001	17119	13280	13280	13280 (5690 uniques)	12614 (358 uniques)	11235 (228 uniques)	11196 (226 uniques)	11196 (226 uniques)	11196 (226 uniques)	11196 (211 uniques)	8185 (193 uniques)	8185 (193 uniques)	8185 (193 uniques)	8185 (193 uniques)
END_CN22_9_1_S57_L001	18420	14385	14385	14385 (6157 uniques)	13696 (363 uniques)	12383 (246 uniques)	12330 (240 uniques)	12330 (240 uniques)	12330 (240 uniques)	12330 (210 uniques)	8205 (189 uniques)	8205 (189 uniques)	8205 (189 uniques)	8205 (189 uniques)
END_DL22_10_S105_L001	59503	46523	46523	46523 (21600 uniques)	45161 (707 uniques)	42525 (587 uniques)	40945 (506 uniques)	40905 (504 uniques)	40905 (504 uniques)	40905 (424 uniques)	34970 (386 uniques)	34968 (385 uniques)	34968 (385 uniques)	34968 (385 uniques)
END_DL22_11_S106_L001	63918	50647	50647	50647 (17484 uniques)	49873 (320 uniques)	48535 (303 uniques)	45132 (204 uniques)	44375 (189 uniques)	44375 (189 uniques)	44375 (163 uniques)	43320 (152 uniques)	43320 (152 uniques)	43320 (152 uniques)	43320 (152 uniques)
END_DL22_12_S107_L001	69999	53524	53524	53524 (25155 uniques)	52395 (658 uniques)	49784 (600 uniques)	47580 (481 uniques)	47564 (479 uniques)	47564 (479 uniques)	47564 (409 uniques)	40493 (374 uniques)	40491 (373 uniques)	40491 (373 uniques)	40491 (373 uniques)
END_DL22_13_S108_L001	62109	49102	49102	49102 (20349 uniques)	47972 (516 uniques)	45983 (438 uniques)	44636 (363 uniques)	44447 (353 uniques)	44447 (353 uniques)	44447 (317 uniques)	41226 (298 uniques)	41224 (297 uniques)	41224 (297 uniques)	41224 (297 uniques)
END_DL22_14_S109_L001	80594	62903	62903	62903 (29272 uniques)	61426 (928 uniques)	57862 (753 uniques)	52080 (638 uniques)	52080 (638 uniques)	52080 (638 uniques)	52080 (538 uniques)	46394 (501 uniques)	46394 (501 uniques)	46394 (501 uniques)	46394 (501 uniques)
END_DL22_16_S110_L001	54210	43894	43894	43894 (16442 uniques)	43417 (221 uniques)	42715 (252 uniques)	37385 (152 uniques)	37056 (140 uniques)	37056 (140 uniques)	37056 (125 uniques)	27501 (112 uniques)	27501 (112 uniques)	27501 (112 uniques)	27501 (112 uniques)
END_DL22_18_S111_L001	48801	38135	38135	38135 (16754 uniques)	37021 (578 uniques)	34907 (449 uniques)	34096 (411 uniques)	34096 (411 uniques)	34096 (411 uniques)	34096 (362 uniques)	29924 (334 uniques)	29924 (334 uniques)	29924 (334 uniques)	29924 (334 uniques)
END_DL22_20_1_S112_L001	46543	35509	35509	35509 (17814 uniques)	34379 (729 uniques)	31546 (599 uniques)	29697 (512 uniques)	29697 (512 uniques)	29697 (512 uniques)	29697 (447 uniques)	25541 (417 uniques)	25541 (417 uniques)	25541 (417 uniques)	25541 (417 uniques)
END_DL22_20_2_S113_L001	56271	44280	44280	44280 (21146 uniques)	43000 (734 uniques)	40345 (627 uniques)	38862 (531 uniques)	38862 (531 uniques)	38862 (531 uniques)	38862 (445 uniques)	32456 (416 uniques)	32456 (416 uniques)	32456 (416 uniques)	32456 (416 uniques)
END_DL22_22_S114_L001	59268	45925	45925	45925 (20341 uniques)	45000 (604 uniques)	42269 (512 uniques)	38351 (407 uniques)	38171 (402 uniques)	38171 (402 uniques)	38171 (347 uniques)	34574 (317 uniques)	34570 (315 uniques)	34570 (315 uniques)	34570 (315 uniques)
END_DL22_23_S115_L001	58192	45241	45241	45241 (17088 uniques)	44688 (322 uniques)	43456 (310 uniques)	36828 (213 uniques)	36613 (206 uniques)	36613 (206 uniques)	36613 (185 uniques)	28109 (172 uniques)	28109 (172 uniques)	28109 (172 uniques)	28109 (172 uniques)
END_DL22_24_S116_L001	65761	51111	51111	51111 (20958 uniques)	50497 (328 uniques)	48962 (317 uniques)	44098 (216 uniques)	43886 (207 uniques)	43886 (207 uniques)	43886 (185 uniques)	38031 (160 uniques)	38031 (160 uniques)	38031 (160 uniques)	38031 (160 uniques)
